side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,gross_pnl,fees,net_pnl,result,exit_reason,signal_score,pattern_type,tp_price,sl_price,atr_at_entry,rsi_at_entry,htf_trend
long,1771569899999,1771570799999,83.45,83.641071,0.543788,4.5379,10.0,0.103902,0.036303,0.067599,win,trailing_stop,9,trend_follow,83.7666,83.5168,0.3957,57.98,neutral
long,1771572599999,1771574399999,83.79,83.552571,0.761038,6.3767,10.0,-0.180692,0.051014,-0.231706,loss,stop_loss,10,trend_follow,84.1066,83.5526,0.3957,61.9,neutral
long,1771578899999,1771579799999,84.29,84.405893,0.746902,6.2956,10.0,0.086561,0.050365,0.036196,win,trailing_stop,16,breakout,84.5911,84.3574,0.3764,63.42,up
long,1771582499999,1771583399999,84.45,84.573929,0.746987,6.3083,10.0,0.092573,0.050466,0.042107,win,trailing_stop,11,engulfing,84.7254,84.5176,0.3443,69.08,up
long,1771586999999,1771587899999,84.11,84.177288,0.751759,6.323,10.0,0.050584,0.050584,0.0,win,breakeven,10,ema_pullback,84.4203,84.1773,0.3879,61.32,up
long,1771603199999,1771604099999,84.38,84.766964,0.749353,6.323,10.0,0.289973,0.050584,0.239389,win,trailing_stop,11,engulfing,84.9977,84.4475,0.7721,56.68,neutral
long,1771609499999,1771610399999,83.9,84.597143,0.763627,6.4068,10.0,0.532357,0.051255,0.481102,win,take_profit,13,trend_follow,84.5971,83.9671,0.8714,61.92,up
long,1771613099999,1771613999999,85.05,85.11804,0.7731,6.5752,10.0,0.052602,0.052602,-0.0,loss,breakeven,18,breakout,85.7934,85.118,0.9293,62.86,up
long,1771666199999,1771667099999,85.09,85.158072,0.772737,6.5752,10.0,0.052602,0.052602,0.0,win,breakeven,17,breakout,85.2603,85.1581,0.2129,65.17,up
long,1771678799999,1771679699999,85.32,85.388256,0.770653,6.5752,10.0,0.052602,0.052602,0.0,win,breakeven,13,ema_pullback,85.5331,85.3883,0.2664,57.06,up
long,1771680599999,1771681499999,85.42,85.488336,0.769751,6.5752,10.0,0.052602,0.052602,0.0,win,breakeven,14,ema_pullback,85.6171,85.4883,0.2464,66.45,up
long,1771682399999,1771683299999,85.85,85.695714,0.765896,6.5752,10.0,-0.118167,0.052602,-0.170768,loss,stop_loss,17,breakout,86.0557,85.6957,0.2571,69.0,up
long,1771685099999,1771685999999,86.38,86.513036,0.754277,6.5154,10.0,0.100346,0.052124,0.048222,win,trailing_stop,17,trend_follow,86.6583,86.4491,0.3479,67.11,up
long,1771686899999,1771687799999,86.58,86.380714,0.754484,6.5323,10.0,-0.150358,0.052259,-0.202617,loss,stop_loss,16,engulfing,86.8457,86.3807,0.3321,75.21,up
long,1771692299999,1771694099999,86.28,86.029714,0.748888,6.4614,10.0,-0.187436,0.051691,-0.239127,loss,stop_loss,12,trend_follow,86.6137,86.0297,0.4171,65.27,up
short,1771720199999,1771721099999,84.9,84.83208,0.751203,6.3777,10.0,0.051022,0.051022,0.0,win,breakeven,13,trend_follow,84.7046,84.8321,0.2443,32.94,neutral
short,1771727399999,1771728299999,85.04,84.925893,0.749966,6.3777,10.0,0.085577,0.051022,0.034555,win,trailing_stop,10,engulfing,84.8291,84.972,0.2636,40.37,neutral
short,1771730999999,1771731899999,84.88,84.812096,0.537718,4.5641,10.0,0.036513,0.036513,-0.0,loss,breakeven,9,engulfing,84.6663,84.8121,0.2671,42.71,neutral
short,1771747199999,1771748099999,85.24,85.137857,0.535447,4.5641,10.0,0.054692,0.036513,0.018179,win,trailing_stop,7,engulfing,85.0869,85.1718,0.1914,58.46,neutral
short,1771762499999,1771763399999,84.91,84.774571,0.753288,6.3962,10.0,0.102017,0.051169,0.050847,win,take_profit,11,engulfing,84.7746,84.8421,0.1693,46.15,neutral
short,1771764299999,1771765199999,84.39,84.322488,0.760039,6.414,10.0,0.051312,0.051312,-0.0,loss,breakeven,13,breakout,84.2271,84.3225,0.2036,31.46,neutral
short,1771767899999,1771768799999,83.83,83.762936,0.765116,6.414,10.0,0.051312,0.051312,0.0,win,breakeven,18,breakout,83.6111,83.7629,0.2736,19.46,neutral
short,1771782299999,1771783199999,82.86,83.049,0.774073,6.414,10.0,-0.1463,0.051312,-0.197611,loss,stop_loss,17,breakout,82.608,83.049,0.315,27.31,down
short,1771802999999,1771803899999,82.73,82.482,0.766929,6.3448,10.0,0.190198,0.050758,0.13944,win,take_profit,16,breakout,82.482,82.6638,0.31,38.91,down
short,1771806599999,1771807499999,82.24,81.946286,0.777433,6.3936,10.0,0.228343,0.051149,0.177194,win,take_profit,16,breakout,81.9463,82.1742,0.3671,36.52,down
short,1771808399999,1771809299999,81.37,81.047714,0.793367,6.4556,10.0,0.255691,0.051645,0.204046,win,take_profit,20,retest,81.0477,81.3049,0.4029,26.32,down
long,1771854299999,1771855199999,81.04,81.104832,0.80541,6.527,10.0,0.052216,0.052216,-0.0,loss,breakeven,14,breakout,81.3326,81.1048,0.3657,69.81,neutral
short,1771867799999,1771868699999,78.25,77.698571,0.834127,6.527,10.0,0.459961,0.052216,0.407745,win,take_profit,17,retest,77.6986,78.1874,0.6893,25.16,down
short,1771874999999,1771875899999,78.33,78.267336,0.851494,6.6698,10.0,0.053358,0.053358,-0.0,loss,breakeven,14,ema_pullback,77.7894,78.2673,0.6757,40.33,down
short,1771895699999,1771896599999,77.47,77.180857,0.860946,6.6698,10.0,0.248937,0.053358,0.195578,win,take_profit,16,breakout,77.1809,77.408,0.3614,37.6,down
short,1771902899999,1771903799999,77.04,76.978368,0.874637,6.7382,10.0,0.053906,0.053906,0.0,win,breakeven,15,ema_pullback,76.5314,76.9784,0.6357,39.84,down
short,1771906499999,1771907399999,76.22,76.630571,0.884047,6.7382,10.0,-0.362964,0.053906,-0.41687,loss,stop_loss,13,engulfing,75.6726,76.6306,0.6843,22.44,down
short,1771910999999,1771911899999,76.53,76.468776,0.861401,6.5923,10.0,0.052738,0.052738,-0.0,loss,breakeven,13,ema_pullback,76.0837,76.4688,0.5579,36.1,down
short,1771942499999,1771943399999,76.43,76.245714,0.862528,6.5923,10.0,0.158952,0.052738,0.106213,win,trailing_stop,11,trend_follow,76.1557,76.3689,0.3429,47.25,down
long,1771949699999,1771950599999,77.94,78.002352,0.850587,6.6295,10.0,0.053036,0.053036,0.0,win,breakeven,12,breakout,78.3514,78.0024,0.5143,71.67,neutral
long,1771953299999,1771955099999,78.43,78.064,0.845273,6.6295,10.0,-0.30937,0.053036,-0.362406,loss,stop_loss,12,breakout,78.918,78.064,0.61,80.5,neutral
long,1771964099999,1771964999999,78.57,78.726786,0.591159,4.6447,10.0,0.092685,0.037158,0.055527,win,trailing_stop,9,breakout,78.9323,78.6329,0.4529,63.97,neutral
long,1771971299999,1771972199999,79.26,79.042286,0.82287,6.5221,10.0,-0.179151,0.052177,-0.231327,loss,stop_loss,12,breakout,79.5503,79.0423,0.3629,70.92,neutral
long,1771975799999,1771976699999,79.44,79.503552,0.810814,6.4411,10.0,0.051529,0.051529,0.0,win,breakeven,13,breakout,79.7617,79.5036,0.4021,68.4,neutral
long,1771982099999,1771982999999,81.37,81.701429,0.791582,6.4411,10.0,0.262353,0.051529,0.210824,win,take_profit,13,breakout,81.7014,81.4351,0.4143,78.46,neutral
long,1771985699999,1771987499999,82.71,82.311,0.787679,6.5149,10.0,-0.314284,0.052119,-0.366403,loss,stop_loss,16,breakout,83.242,82.311,0.665,81.62,neutral
long,1772022599999,1772023499999,83.33,83.425714,0.766429,6.3866,10.0,0.073358,0.051093,0.022265,win,trailing_stop,12,trend_follow,83.5997,83.3967,0.3371,65.34,up
long,1772027099999,1772027999999,84.02,84.358857,0.761062,6.3944,10.0,0.257891,0.051156,0.206736,win,take_profit,15,trend_follow,84.3589,84.0872,0.4236,70.37,up
long,1772052299999,1772053199999,89.78,89.972857,0.720294,6.4668,10.0,0.138914,0.051734,0.087179,win,trailing_stop,13,engulfing,90.2829,89.8518,0.6286,72.39,up
long,1772055899999,1772056799999,90.48,90.122571,0.718094,6.4973,10.0,-0.256667,0.051979,-0.308646,loss,stop_loss,18,breakout,90.9566,90.1226,0.5957,74.33,up
long,1772057699999,1772058599999,90.34,89.899,0.707249,6.3893,10.0,-0.311897,0.051114,-0.363011,loss,stop_loss,15,trend_follow,90.928,89.899,0.735,64.19,up
long,1772097299999,1772098199999,88.37,88.144143,0.708638,6.2622,10.0,-0.160051,0.050098,-0.210149,loss,stop_loss,10,engulfing,88.6711,88.1441,0.3764,59.63,up
short,1772118899999,1772119799999,86.57,86.166571,0.714876,6.1887,10.0,0.288401,0.049509,0.238892,win,take_profit,10,breakout,86.1666,86.5007,0.5043,44.37,neutral
